Unnamed: 0,iso_code,region_group,income_group,country,survey,year,level,grade,category,sex,location,wealth,region,ethnicity,religion,language,disability,hh_edu_head,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
44390,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location,,Rural,,,,,,,,0.224900007247925,0.0329000018537045,0.0130000002682209,0.308299988508224,0.031700000166893,0.0175000000745058,,0.246700003743172,0.366499990224838,0.25789999961853,0.604399979114532,0.889800012111664,2538.0,1715.0,1303.0,6033.0,6033.0,4156.0,2196.0,2196.0,2196.0,7006.0,2813.0,2184.0,,,,,0.195600003004074,5893.0,0.255400002002716,789.0,0.679700016975403,83.0,0.0010999999940395,1559.0,0.0,1559.0,0.0,1337.0,0.0,2515.0,0.381500005722046,4128.0,0.682900011539459,4010.0,,,,,,,,,,,,,,,,,,,,,,,,
44391,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location,,Urban,,,,,,,,0.506099998950958,0.224000006914139,0.144600003957748,0.619300007820129,0.221300005912781,0.170800000429153,,0.0991000011563301,0.162000000476837,0.176899999380112,0.499300003051758,0.704100012779236,1064.0,848.0,661.0,2833.0,2833.0,2042.0,1171.0,1171.0,1171.0,1567.0,947.0,999.0,,,,,0.108599998056889,1396.0,0.583599984645844,765.0,0.827000021934509,310.0,0.046399999409914,697.0,0.0110999997705221,697.0,0.0142000000923872,535.0,0.0074999998323619,1179.0,0.304500013589859,814.0,0.888300001621246,2356.0,,,,,,,,,,,,,,,,,,,,,,,,
44392,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location & Sex,Female,Rural,,,,,,,,0.217800006270409,0.025900000706315,0.0105999996885657,0.304100006818771,0.0258000008761883,0.0103000001981854,,0.252700001001358,0.365299999713898,0.261700004339218,0.618399977684021,0.916800022125244,1224.0,955.0,752.0,3198.0,3198.0,2424.0,1249.0,1249.0,1249.0,3663.0,1305.0,1090.0,,,,,0.194600000977516,3031.0,0.222800001502037,401.0,0.668799996376038,36.0,0.0,928.0,0.0,928.0,0.0,773.0,0.0,1422.0,0.356200009584427,2125.0,0.665700018405914,3193.0,,,,,,,,,,,,,,,,,,,,,,,,
44393,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location & Sex,Female,Urban,,,,,,,,0.476700007915497,0.225400000810623,0.121399998664856,0.603299975395203,0.222200006246567,0.157299995422363,,0.0869000032544136,0.157100006937981,0.180999994277954,0.534799993038177,0.700999975204468,596.0,458.0,342.0,1520.0,1520.0,1053.0,607.0,607.0,607.0,827.0,541.0,561.0,,,,,0.109700001776218,790.0,0.607699990272522,414.0,0.805199980735779,163.0,0.0285999998450279,350.0,0.0082000000402331,350.0,0.0149999996647239,237.0,0.0043000001460313,614.0,0.294099986553192,423.0,0.875500023365021,1823.0,,,,,,,,,,,,,,,,,,,,,,,,
44394,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location & Sex,Male,Rural,,,,,,,,0.231800004839897,0.0417000018060207,0.0164000000804663,0.312900006771088,0.0384000018239021,0.0276999995112419,,0.238800004124641,0.368400007486343,0.252700001001358,0.592299997806549,0.862399995326996,1313.0,760.0,551.0,2833.0,2833.0,1731.0,946.0,946.0,946.0,3337.0,1507.0,1093.0,,,,,0.196700006723404,2857.0,0.288100004196167,388.0,0.688000023365021,47.0,0.0027999999001622,631.0,0.0,631.0,0.0,564.0,0.0,1093.0,0.407700002193451,2002.0,0.700900018215179,817.0,,,,,,,,,,,,,,,,,,,,,,,,
44395,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Location & Sex,Male,Urban,,,,,,,,0.540899991989136,0.222299993038177,0.171700000762939,0.637899994850159,0.220100000500679,0.186800003051758,,0.113300003111362,0.167899996042252,0.172199994325638,0.456299990415573,0.707799971103668,468.0,390.0,319.0,1313.0,1313.0,989.0,564.0,564.0,564.0,738.0,406.0,438.0,,,,,0.107500001788139,605.0,0.556400001049042,351.0,0.851899981498718,147.0,0.0671999976038933,347.0,0.0144999995827675,347.0,0.0136000001803041,298.0,0.0110999997705221,565.0,0.313400000333786,390.0,0.900200009346008,533.0,,,,,,,,,,,,,,,,,,,,,,,,
44396,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Butare,,,,,,0.27020001411438,0.0423999987542629,0.0261000003665686,0.361099988222122,0.0467000007629395,0.0368000008165836,,0.209000006318092,0.341199994087219,0.286799997091293,0.597500026226044,0.854700028896332,322.0,227.0,163.0,772.0,772.0,518.0,278.0,278.0,278.0,618.0,312.0,299.0,,,,,0.174199998378754,542.0,0.284000009298325,136.0,,,0.0216000005602837,190.0,0.0126000000163913,190.0,0.0119000002741814,175.0,0.0,316.0,,,0.724300026893616,584.0,,,,,,,,,,,,,,,,,,,,,,,,
44397,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Byumba,,,,,,0.275099992752075,0.0355000011622906,0.0142000000923872,0.323399990797043,0.0329999998211861,0.031300000846386,,0.273099988698959,0.407599985599518,0.29449999332428,0.611500024795532,0.880200028419495,269.0,169.0,141.0,637.0,637.0,447.0,238.0,238.0,238.0,618.0,278.0,242.0,,,,,0.145300000905991,530.0,0.244200006127357,86.0,,,0.006000000052154,166.0,0.0,166.0,0.0,153.0,0.0,257.0,,,0.739799976348877,435.0,,,,,,,,,,,,,,,,,,,,,,,,
44398,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Cyangugu,,,,,,0.311599999666214,0.111599996685982,0.0542000010609627,0.425399988889694,0.0718000009655952,0.043699998408556,,0.156399995088577,0.258199989795685,0.217999994754791,0.613900005817413,0.874000012874603,292.0,215.0,166.0,724.0,724.0,480.0,275.0,275.0,275.0,734.0,316.0,246.0,,,,,0.148599997162819,599.0,0.453099995851517,128.0,,,0.006000000052154,167.0,0.0,167.0,0.0,141.0,0.0031999999191612,317.0,0.297600001096725,756.0,0.737999975681305,521.0,,,,,,,,,,,,,,,,,,,,,,,,
44399,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Gikongoro,,,,,,0.293000012636185,0.0414000004529953,0.009800000116229,0.317200005054474,0.0467999987304211,0.0057999999262392,,0.257699996232986,0.376300007104874,0.277300000190735,0.568499982357025,0.866699993610382,256.0,169.0,102.0,577.0,577.0,346.0,194.0,194.0,194.0,642.0,248.0,225.0,,,,,0.180099993944168,522.0,0.308499991893768,94.0,,,0.0,127.0,0.0,127.0,0.0,131.0,0.0,223.0,0.403699994087219,218.0,0.699500024318695,365.0,,,,,,,,,,,,,,,,,,,,,,,,
