position,name,type,isnumeric,format,vallab,varlab
1,PSU_NO,int,1,%10.0g,,Primary Sampling Unit-quarterly
2,QH_NO,byte,1,%8.0g,,QUESTIONNAIRE  NUMBER
3,HHID,long,1,%12.0g,,Household identification
4,pid,long,1,%15.0f,,Personal id
5,province,byte,1,%17.0g,province,Province
6,Code_UR,byte,1,%9.0g,Code_UR,urban-rural
7,code_dis,byte,1,%10.0g,code_dis,District
8,LFS_year,int,1,%9.0g,,LFS data collection year
9,weight2,float,1,%9.0g,,Annual_weight
10,A01,byte,1,%10.0g,A01,Sex
11,A02,byte,1,%10.0g,A02,Relationship
12,A03M,byte,1,%10.0g,A03M,Date of birth Month
13,A03Y,int,1,%10.0g,A03Y,date of birth year
14,A04,byte,1,%10.0g,A04,Age at last birthday
15,A05,byte,1,%10.0g,A05,Present marital status
16,A06,byte,1,%10.0g,A06,"Do you have difficulty seeing, even if wearing glasses?"
17,A07,byte,1,%10.0g,A07,"Do you have difficulty hearing, even if using a hearing aid?"
18,A08,byte,1,%10.0g,A08,Do you have difficulty walking or climbing steps?
19,A09,byte,1,%10.0g,A09,Do you have difficulty remembering or concentrating?
20,A10,byte,1,%10.0g,A10,Do you have difficulty (with self-care such as) washing all over or dressing?
21,A11,byte,1,%10.0g,A11,"Using your usual language, do you have difficulty communicating, mple understand"
22,A12,byte,1,%10.0g,A12,What is nationality?
23,A13,byte,1,%10.0g,A13,Residential Status in Rwanda
24,A14A,byte,1,%10.0g,A14A,Country/Area of birth
25,A14B,byte,1,%10.0g,A14B,District of birth
26,A15,byte,1,%10.0g,A15,Has usual place of residence  always been in this district?
27,A16Y,byte,1,%10.0g,,The period of usual place of residence( last move)-Years
28,A17A,byte,1,%10.0g,A17A,District or foreign country did he/she live.
29,A17B,byte,1,%10.0g,A17B,District code
30,A18,byte,1,%10.0g,A18,Kind of place he/she lived in prior to arriving here?
31,A19,byte,1,%10.0g,,How long did he/she live in the previous location prior to arriving here?
32,A20,byte,1,%10.0g,A20,Reason to move away from previous location
33,A21,byte,1,%10.0g,A21,Has he/she been away from home in this last 12 months?
34,A22,byte,1,%10.0g,,Months during the past 12 months has he/she been away from this HH
35,A23,byte,1,%10.0g,A23,"While absent, is/was he/she a member of another household?"
36,A24,byte,1,%10.0g,A24,Is he/she household member?
37,B01,byte,1,%10.0g,B01,IS [NAME] currently studying?
38,B02A,byte,1,%10.0g,B02A,What is the Highest educational level is/ have [NAME] attending / attended?
39,B02B,int,1,%10.0g,,How many years have you completed in that level of education?
40,B03,byte,1,%10.0g,B03,Highest certificate obtained
41,B06,byte,1,%10.0g,B06,Ability to read and write
42,B07,byte,1,%10.0g,B07,Currently attending any trade or technical Skills school
43,B08,byte,1,%10.0g,B08,Did you learn any Trade or Technical vocational course (TVET)?
44,B09,byte,1,%10.0g,B09,How long will/did this Training take?
45,B10,byte,1,%41.0g,B10,Type of technical skills learned?
46,B13,byte,1,%10.0g,B13,Did [NAME] complete the course?
47,B13A,int,1,%10.0g,B13A,In which year did (Name) complete this course?
48,B14,byte,1,%10.0g,B14,What happened after you completed the course?
49,B18,byte,1,%10.0g,B18,"Has [Name] in last three months used any social media (facebook, whatsapp, tweet"
50,B19,byte,1,%10.0g,B19,Has [Name] in the last three months used intenet? (for individual use not for of
